,real_price
35831,25.26
35832,14.12
35833,13.33
35834,13.33
35835,13.34
35836,5.92
35837,0.0
35838,14.73
35839,25.2
35840,26.23
35841,25.92
35842,26.35
35843,26.34
35844,16.09
35845,4.47
35846,1.37
35847,4.64
35848,11.42
35849,17.77
35850,14.82
35851,12.85
35852,12.03
35853,8.99
35854,10.85
35855,0.41
35856,0.42
35857,0.96
35858,1.37
35859,4.89
35860,5.86
35861,1.45
35862,5.87
35863,28.41
35864,54.99
35865,64.78
35866,27.56
35867,17.33
35868,17.46
35869,13.15
35870,13.16
35871,17.27
35872,20.77
35873,25.98
35874,27.46
35875,25.16
35876,27.91
35877,27.98
35878,20.61
35879,24.15
35880,14.88
35881,13.26
35882,11.43
35883,12.63
35884,5.97
35885,17.0
35886,24.58
35887,27.48
35888,33.35
35889,26.82
35890,25.67
35891,26.5
35892,25.17
35893,20.05
35894,19.06
35895,14.38
35896,13.5
35897,20.65
35898,15.7
35899,7.43
35900,3.72
35901,7.5
35902,8.24
35903,1.94
35904,0.48
35905,0.0
35906,0.0
35907,0.0
35908,0.0
35909,3.61
35910,1.97
35911,6.2
35912,12.09
35913,14.36
35914,19.38
35915,23.43
35916,6.68
35917,5.92
35918,5.7
35919,6.0
35920,6.6
35921,14.41
35922,17.66
35923,20.62
35924,10.87
35925,5.83
35926,8.87
35927,9.84
35928,1.94
35929,1.44
35930,2.42
35931,0.49
35932,1.9
35933,5.92
35934,4.34
35935,8.2
35936,11.61
35937,14.34
35938,10.2
35939,6.65
35940,5.89
35941,5.92
35942,7.69
35943,20.66
35944,16.03
35945,28.95
35946,30.61
35947,21.37
35948,30.33
35949,61.33
35950,61.3
35951,23.6
35952,19.6
35953,20.4
35954,28.31
35955,14.36
35956,5.98
35957,8.79
35958,4.25
35959,8.74
35960,14.36
35961,14.35
35962,14.32
35963,14.32
35964,13.66
35965,8.85
35966,12.25
35967,15.86
35968,30.61
35969,370.44
35970,143.58
35971,52.02
35972,30.23
35973,17.6
35974,10.74
35975,7.72
35976,13.32
35977,14.52
35978,13.35
35979,19.7
35980,30.5
35981,33.77
35982,35.15
35983,137.34
35984,81.37
35985,78.4
35986,34.48
35987,34.24
35988,34.15
35989,34.15
35990,34.34
35991,33.05
35992,45.65
35993,98.45
35994,76.46
35995,54.81
35996,37.77
35997,34.64
35998,34.25
35999,34.25
36000,33.97
36001,33.88
36002,32.34
36003,32.26
36004,31.09
36005,32.78
36006,33.19
36007,37.38
36008,36.62
36009,35.52
36010,34.41
36011,35.49
36012,33.05
36013,33.11
36014,33.02
36015,32.91
36016,35.56
36017,45.39
36018,48.02
36019,36.84
36020,32.71
36021,32.13
36022,31.58
36023,26.25
36024,26.9
36025,25.45
36026,20.47
36027,23.14
36028,24.94
36029,28.39
36030,28.39
36031,30.56
36032,32.25
36033,32.19
36034,33.13
36035,32.27
36036,32.17
36037,28.82
36038,28.59
36039,28.38
36040,31.66
36041,36.3
36042,36.85
36043,32.83
36044,33.73
36045,36.18
36046,32.42
36047,29.73
36048,31.74
36049,26.94
36050,23.95
36051,21.75
36052,12.9
36053,25.17
36054,31.54
36055,36.41
36056,36.11
36057,34.76
36058,36.17
36059,36.75
36060,34.25
36061,35.19
36062,32.9
36063,34.21
36064,34.8
36065,39.11
36066,38.06
36067,36.03
36068,35.6
36069,35.29
36070,33.03
36071,23.1
36072,16.07
36073,13.32
36074,13.31
36075,13.35
36076,25.68
36077,37.88
36078,47.62
36079,53.28
36080,53.38
36081,53.32
36082,53.07
36083,51.8
36084,48.72
36085,48.61
36086,49.92
36087,52.27
36088,63.85
36089,266.36
36090,73.21
36091,58.79
36092,52.72
36093,53.3
36094,47.86
36095,46.73
36096,46.02
36097,54.74
36098,55.19
36099,42.14
36100,49.68
36101,57.34
36102,56.72
36103,56.26
36104,57.67
36105,60.27
36106,57.76
36107,55.83
36108,56.41
36109,52.1
36110,52.39
36111,55.05
36112,63.33
36113,59.95
36114,61.66
36115,56.68
36116,56.65
36117,60.49
36118,68.65
36119,58.16
36120,56.26
36121,53.93
36122,52.94
36123,52.87
36124,52.88
36125,53.38
36126,58.45
36127,60.71
36128,63.49
36129,55.34
36130,55.59
36131,51.47
36132,45.14
36133,43.68
36134,51.02
36135,53.19
36136,55.25
36137,56.56
36138,60.03
36139,58.39
36140,56.26
36141,56.13
36142,55.07
36143,57.38
36144,53.53
36145,53.45
36146,54.39
36147,53.43
36148,52.23
36149,45.25
36150,55.25
36151,55.13
36152,55.3
36153,55.31
36154,56.17
36155,56.02
36156,55.37
36157,55.25
36158,53.68
36159,54.17
36160,55.08
36161,56.26
36162,55.95
36163,51.44
36164,52.23
36165,44.49
36166,20.97
36167,7.44
36168,11.84
36169,4.75
36170,0.0
36171,0.0
36172,0.0
36173,2.38
36174,4.19
36175,30.55
36176,29.82
36177,42.9
36178,47.83
36179,55.94
36180,57.41
36181,57.2
36182,53.65
36183,53.67
36184,55.15
36185,55.39
36186,56.86
36187,56.33
36188,56.79
36189,55.19
36190,52.43
36191,45.32
36192,50.65
